지역,상세주소,위도,경도,센터 이름,운영시간,전화번호,기관 소개,홈페이지,위도
경기도,양주시 광적면 현석로 313-49,37.83240637,126.9425204,티차연,10:00~17:00,0507-1335-6809,아름다운 풍경 속 힐링 공간에서의 여유,https://blog.naver.com/alrud6206,
경기도,양주시 광적면 휴암로217번길 1-19,37.87624589,126.9576663,맑은물농원,10:00~17:00,0507-1322-1958,양주시 광적면 효촌리에 위치한 1급수 맑은물치유농원입니다.,http://www.fwf.co.kr,
경기도,양주시 광사동 원학로 147번길 123-24,37.77871366,127.0661566,원학농장,09:00~18:00,010-3629-7149,양주시 농촌체험 교육농장 치유농업 치유농장,https://blog.naver.com/wonhakfarm,
경기도,남양주시 다산지금로 146번길 40-20,37.60070732,127.168333,안나농원,10:00~17:00,0507-1335-6133,아이들의 눈높이에 맞춰 자연을 나누고 있습니다. 계절마다 달라지는 체험 프로그램을 통해 아이들에게 즐거움과 기쁨을 전하겠습니다.,https://blog.naver.com/play_anna,
경기도,남양주시 조안면 다산로 761번길 17-11,37.51563102,127.2997837,대가농원,09:00~17:00,0507-1370-6641,"딸기 농장에서 즐기는 딸기 활용 프로그램과 텃밭 가꾸기, 수확 농산물 활용 치유밥상 체험을 통해 신체적·정서적 건강을 유지할 수 있도록 도움을 주는 대가농원입니다.",https://blog.naver.com/daegaparm,
경기도,고양시 일산동구 식사로 116,37.67620172,126.8188118,뜰안에 힐링팜,09:00~18:00,010-3669-4600,"23년전부터 심어온 꽃과 나무들이 치유정원을 이뤄 사람들과 함께 이야기를 전합니다. 장애인, 노인, 청소년 뿐만 아니라 일반인들도 오셔서 식물이 주는 편안함으로 휴식을 즐기고 있습니다.",https://www.instagram.com/green_thumb_70?igsh=NXVqOXF1djUyeG41,
경기도,용인시 처인구 원삼면 두창로 181,37.17059331,127.3392969,팜앤트리,10:00~17:00,0507-1351-3287,우리 농장은 식물을 잘 키워보고자 하는 마음을 가진 대상자의 참여로 식물에 대한 애정도가 깊어지고 다양한 색감의 식물을 다루며 식물 사랑의 마음을 더 가질 수 있도록 하는 용인 팜앤트리입니다.,,
경기도,경기도 이천시 백사면 이여로100번길 29-25,37.30652588,127.4659296,치유농원 서로(폴리복관광농원),08:00 ~ 17:00 (-),070-8833-5477,"‘힘이 없어 못 움직이는 것이 아니라 안 움직여서 힘이 없다.’는 슬로건으로 나이와 건강에 상관없이 생명이 있는 한 움직일 때 삶의 의미를 찾을 수 있고 건강도 유지할 수 있다는 가치관으로 자연과 더불어 하는 활동을 중시하고 있습니다. 함께 운동하고, 활동하고, 노동하고 감동을 서로 나눈다.",https://blog.naver.com/folibok,
경기도,평택시 팽성읍 대사로 144-4,36.94361591,127.0679696,로렌츠시골체험,09:00 ~ 17:00 (-),0507-1329-0066,로렌츠감성치유시골체험은 매월 새로운 농업 및 생태 체험을 할 수 있는 공간입니다. ,https://www.instagram.com/lorentz__official,
경기도,포천시 신북면 청신로 1341번길 10-20,37.95843624,127.157991,힐데루시 자연치유,10:00 ~ 17:00 (-),010-9890-1046,힐데루시자연치유 농장은 일반인대상으로 치유와 돌봄을 목적으로 하는 농장 입니다.,https://hilderuci.com/,
